Metric,Value,Timestamp,Epoch
NumTrajs,50.0,0,1
NumTimesteps,1940.0,0,1
MaxRew,-1.9683962775157258,0,1
MeanRew_lower,13.588814256295084,0,1
MeanRew_upper,-20.34679399456376,0,1
MeanSlowdown,3.603125,0,1
MeanLen+,38.8,0,1
MeanLen-,8.440379138403676,0,1
MeanEntropy,2.7725837230682373,0,1
NumTrajs,50.0,0,2
NumTimesteps,1950.0,0,2
MaxRew,-1.9683962775157258,0,2
MeanRew_lower,13.780971564097465,0,2
MeanRew_upper,-19.85762020419601,0,2
MeanSlowdown,3.403125,0,2
MeanLen+,39.0,0,2
MeanLen-,8.63944442658207,0,2
MeanEntropy,2.7724664211273193,0,2
NumTrajs,50.0,0,3
NumTimesteps,1898.0,0,3
MaxRew,-3.477766913033542,0,3
MeanRew_lower,13.296497875678613,0,3
MeanRew_upper,-21.04599267664167,0,3
MeanSlowdown,3.85,0,3
MeanLen+,37.96,0,3
MeanLen-,6.767451514418112,0,3
MeanEntropy,2.771540880203247,0,3
NumTrajs,50.0,0,4
NumTimesteps,1914.0,0,4
MaxRew,-0.7988836055101132,0,4
MeanRew_lower,13.043656841809604,0,4
MeanRew_upper,-17.561591377513313,0,4
MeanSlowdown,3.553125,0,4
MeanLen+,38.28,0,4
MeanLen-,7.71502430326697,0,4
MeanEntropy,2.7712900638580322,0,4
NumTrajs,50.0,0,5
NumTimesteps,1883.0,0,5
MaxRew,-3.2340586437038312,0,5
MeanRew_lower,12.00137151466294,0,5
MeanRew_upper,-18.165310363932864,0,5
MeanSlowdown,3.575,0,5
MeanLen+,37.66,0,5
MeanLen-,6.457894393685916,0,5
MeanEntropy,2.7708003520965576,0,5
NumTrajs,50.0,0,6
NumTimesteps,1935.0,0,6
MaxRew,-2.2700497251003777,0,6
MeanRew_lower,12.660864603632206,0,6
MeanRew_upper,-16.642920567543705,0,6
MeanSlowdown,3.25625,0,6
MeanLen+,38.7,0,6
MeanLen-,8.41961994391671,0,6
